chroma,brightness,sigma,detail,step,selected,unsupported_reason,baseline_loss,best_loss,selected_loss,max_noise_ratio,max_clean_error,max_bias,feasible_candidates
True,0.3764705955982208,0.00800000037997961,50.0,1.0,100,,0.999997337865931,0.02298799487886753,0.02298799487886753,0.11948318583786355,0.0,0.0,25
True,0.3764705955982208,0.012000000104308128,50.0,1.0,100,,0.9999988646052914,0.018313827613859388,0.018313827613859388,0.11817351052086104,0.0,0.0,25
True,0.3764705955982208,0.01600000075995922,50.0,1.0,100,,0.9999993901270074,0.020678261048712718,0.020678261048712718,0.11733137211427606,0.0,0.0,25
True,0.3764705955982208,0.03200000151991844,50.0,1.0,100,,0.9999998605756151,0.06064007685936917,0.06064007685936917,0.17062499533350556,0.0,0.0,25
True,0.3764705955982208,0.06400000303983688,50.0,1.0,100,,0.9999999562964936,0.17502363467025972,0.17502363467025972,0.4098861180460648,0.0,0.0,25
True,0.3764705955982208,0.09600000083446503,50.0,1.0,100,,0.9999999744661103,0.32056435391345794,0.32056435391345794,0.5862540460660202,0.0,0.0,25
True,0.3764705955982208,0.12800000607967377,50.0,1.0,100,,0.9999999823319309,0.4562027382308302,0.4562027382308302,0.7109083794957598,0.0,0.0,25
True,0.3764705955982208,0.0010000000474974513,50.0,2.0,40,,0.9998253039098205,0.5019083517818941,0.5250647568626353,0.6298571642349213,7.62939453125e-06,0.14849807739257812,33
True,0.3764705955982208,0.0020000000949949026,50.0,2.0,55,,0.9999563288719409,0.34259568872234364,0.3592588184150771,0.47692707501091025,7.62939453125e-06,0.2415502166748047,37
True,0.3764705955982208,0.004000000189989805,50.0,2.0,81,,0.9999891225997142,0.13536652678519692,0.14123961620093362,0.24382763889455017,7.62939453125e-06,0.34697196960449217,33
True,0.3764705955982208,0.00800000037997961,50.0,2.0,93,,0.999997337865931,0.05288162281943971,0.05486846186158772,0.16428093621737902,0.0,0.0,29
